Acid Splash,0,Evocation,Action,60 feet,"V, S",Instantaneous,"You create an acidic bubble at a point within range, where it explodes in a 5-foot-radius Sphere. Each creature in that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage.",,"Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
Blade Ward,0,Abjuration,Action,Self,"V, S","Concentration, up to 1 minute","Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.",,
Booming Blade,0,Evocation,Action,Self (5-foot radius),"S, M (a melee weapon worth at least 1 sp)",1 round,"You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.","This spell's damage increases when you reach certain levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).",
Chill Touch,0,Necromancy,Action,Touch,"V, S",Instantaneous,"Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can't regain Hit Points until the end of your next turn.","Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",
Control Flames,0,Transmutation,Action,60 feet,S,Instantaneous or 1 hour (see below),"You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways: You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location; You instantaneously extinguish the flames within the cube; You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour; You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour.","If you cast this spell multiple times, you can have up to three non-instantaneous effects created by it active at a time, and you can dismiss such an effect as an action.",
Arcane Eye,4,Divination,Action,30 feet,"V, S, M (a bit of bat fur)","Concentration, up to 1 hour","You create an Invisible, invulnerable eye within range that hovers for the duration. You mentally receive visual information from the eye, which can see in every direction. It also has Darkvision with a range of 30 feet.","As a Bonus Action, you can move the eye up to 30 feet in any direction. A solid barrier blocks the eye's movement, but the eye can pass through an opening as small as 1 inch in diameter.",
Aura of Life,4,Abjuration,Action,Self,V,"Concentration, up to 10 minutes","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point maximums can't be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.",,
Aura of Purity,4,Abjuration,Action,Self,V,"Concentration, up to 10 minutes","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded, Charmed, Deafened, Frightened, Paralyzed, Poisoned, or Stunned condition.",,
Banishment,4,Abjuration,Action,30 feet,"V, S, M (a pentacle)","Concentration, up to 1 minute","One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. If the target is an Aberration, a Celestial, an Elemental, a Fey, or a Fiend, the target doesn't return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM's choice) associated with its creature type.",Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.,
Blight,4,Necromancy,Action,30 feet,"V, S",Instantaneous,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save. Alternatively, target a nonmagical plant that isn't a creature, such as a tree or shrub. It doesn't make a save; it simply withers and dies.",Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,
